N  chl  mld meanS  z   jd  sst  sstgrad  sstdt  windspeed  par  w  M  eke  current  Ro  PAR7day
131  -2.966177  -0.874907  0.222363  -0.323504  1.704408  0.601270  0.537688  0.365737  -0.430713  2.754814  0.363473  0.536515  0.060269  -0.283408  0.581457  NaN
132  -2.828697  -0.103920  -0.170853  -0.687498  -0.662910  1.031951  -0.020084  0.039107  -0.144537  NaN  0.223751  0.073666  0.676049  0.330057  0.750847  -0.326808
133  -0.439123  -0.803372  0.459972  -1.073316  0.525464  0.813298  0.134550  0.079936  -1.101438  1.009931  -0.516210  0.807993  0.980673  0.776263  1.055689  1.013410
134  -2.424927  -0.612612  0.551181  -0.976667  0.827274  0.704633  -1.241437  0.039107  -0.144537  NaN  -0.171850  0.090121  1.336278  1.468078  -1.787800  -0.058517
135  -2.313553  -0.682558  0.585630  -0.808310  0.921589  0.732462  -0.923486  0.324909  -1.181925  1.865554  0.302781  0.865802  1.225410  1.229387  -0.609722  1.859738
136  -3.239906  -0.800193  0.232287  -0.997712  1.327146  0.914011  -0.361995  -0.083379  -0.365131  NaN  -0.205674  0.265299  0.793174  0.487999  -0.029913  NaN
137  -0.747839  -0.005360  -0.094590  -0.528494  -0.361101  1.035927  -1.075276  -1.757357  -0.180309  0.411996  0.594932  0.060206  0.345532  -0.038958  -0.691060  0.955582
138  -0.885395  -0.804962  0.919401  -0.599422  0.931021  0.545613  -0.081753  0.120765  -0.648326  1.844130  0.129578  0.615909  1.263042  1.307877  0.228300  1.634056
139  -1.233913  -0.483849  0.542251  -0.844943  1.232831  0.744389  0.872951  -1.185755  -1.345880  2.422309  0.419460  0.969521  1.216546  1.211265  -0.439388  1.817266
140  -2.613976  -0.010130  0.167972  -1.135671  -0.351669  1.010748  -0.491372  -0.083379  0.034324  0.381295  -0.027960  -0.114731  -0.379232  -0.560470  0.437712  1.464581
141  -1.503547  -0.812910  0.591747  -0.876120  0.940453  0.760291  0.839354  0.937340  -0.204157  NaN  0.077448  0.205283  0.887946  0.627918  0.097151  0.983850
142  -3.729652  -0.827217  -0.143980  -1.146583  -1.540044  1.389748  -0.327553  2.203030  -1.092495  NaN  0.285440  0.850533  1.062541  0.917397  -0.859467  NaN
143  -0.259236  -0.801782  0.245745  -0.521479  -0.247922  1.020025  0.860606  -0.042550  -0.862958  0.333508  0.338298  0.651269  1.133143  1.047316  0.251976  0.682538
144  -0.091069  -0.437749  0.698346  -1.173863  0.251950  0.674154  -1.084146  0.243251  0.633505  0.488748  0.126583  -0.994258  -0.128025  -0.414957  0.433509  0.000685
145  0.031184  0.306214  0.833203  -0.831693  0.157634  0.613196  -1.280241  0.569881  -1.846688  0.147033  0.042918  1.089612  0.465480  0.083059  0.307101  -0.023930
146  -0.607749  -0.167506  0.764699  -0.916651  1.157378  0.598620  -0.012731  0.039107  -0.180309  NaN  -0.100396  0.235477  0.218822  -0.154937  1.120562  0.028212
147  0.032280  0.058226  0.558611  -0.416256  0.167066  0.845102  -0.898099  -1.144926  -0.758623  0.416267  0.741367  0.610603  1.037004  0.872307  -1.162641  0.959235
148  0.204384  0.732244  0.607727  -0.943151  0.365128  0.829200  -1.231440  0.039107  -0.624478  0.665079  -1.064589  0.472236  0.874938  0.608034  1.269084  0.315513
149  -0.411471  -0.838345  0.938576  1.489453  0.968747  0.728487  -0.064452  0.529052  -0.412827  NaN  -1.578148  0.410785  -1.532521  -0.940878  1.349502  -0.083159
150  -0.317570  -0.041923  0.203908  0.926704  -0.219628  0.960392  -0.607960  -0.042550  -0.964312  0.174330  -0.135252  0.726670  -0.215543  -0.469242  -1.373052  -0.059973
151  0.231008  -0.642816  1.183376  -1.070978  0.770685  0.487305  -0.462483  -0.205865  1.032959  NaN  0.672936  -1.291877  0.245334  -0.131701  -0.453437  -0.290957
152  0.159361  -0.479080  0.831947  0.321865  0.676369  0.731137  -0.076975  0.814853  -0.377055  1.355450  1.241222  0.297035  -0.009276  -0.334482  -1.913006  0.852507
153  -1.313947  -0.487029  -0.366654  -0.788824  -1.106193  1.278433  -0.915217  -0.124208  0.597733  NaN  0.587774  -0.863346  1.182871  1.143655  0.070327  0.762894
